Achternaam,Voornaam,Stud.Nr.,Vak1,Vak2,Vak3,Vak4,Vak5,
Abbing,Yanick,52311353,Analysemethoden en -technieken,Data Mining,Lineaire Algebra,Software engineering,,
Adam,Roelof,76903244,Webprogrammeren en databases,,,,,
Agema,Willibrordus,6709529,Calculus 2,,,,,
Anker,Servaas,70015932,Architectuur en computerorganisatie,Software engineering,,,,
Ankone,Wissal,82066165,Compilerbouw practicum,Project Genetic Algorithms,,,,
Apeldoorn,Herman,1886996,Advanced Heuristics,Heuristieken 2,,,,
Appel,Evi,13534377,Collectieve Intelligentie,,,,,
Appelhof,Wilmer,54395877,Programmeren in Java 2,,,,,
Arendse,Benjamin,53512831,Webprogrammeren en databases,,,,,
Aslan,Diny,56348773,Calculus 2,,,,,
Autar,Chesney,13218321,Moderne Databases,,,,,
Avci,Martin,13284244,Compilerbouw,Project Numerical Recipes,,,,
Baetsen,Gidon,36748818,Informatie- en organsatieontwerp,Moderne Databases,,,,
Bakkum,Rhona,50184318,Collectieve Intelligentie,Moderne Databases,,,,
Bart,Wafa,64296965,Analysemethoden en -technieken,Collectieve Intelligentie,Databases 2,Kansrekenen 2,,
Baselmans,Sharan,42778953,Collectieve Intelligentie,Compilerbouw,Lineaire Algebra,Project Numerical Recipes,,
Bastings,Edin,82689818,Algoritmen en complexiteit,Architectuur en computerorganisatie,Collectieve Intelligentie,Databases 2,Netwerken en systeembeveiliging,
Baudoin,Mattijs,81385263,Algoritmen en complexiteit,Compilerbouw,Interactie-ontwerp,Lineaire Algebra,Netwerken en systeembeveiliging,
Bauer,Ravi,51741554,Calculus 2,Collectieve Intelligentie,Netwerken en systeembeveiliging,,,
Becht,Wiert,63939720,Project Numerical Recipes,,,,,
Bekkema,Kyllian,70844780,Advanced Heuristics,Netwerken en systeembeveiliging,Reflectie op de digitale cultuur,,,
Bekker,Marrie,97135019,Calculus 2,Collectieve Intelligentie,Netwerken en systeembeveiliging,Zoeken, sturen en bewegen,
Berentsen,Angèle,78136904,Advanced Heuristics,Algoritmen en complexiteit,Kansrekenen 2,Reflectie op de digitale cultuur,,
Bergmans,Emil,8522855,Algoritmen en complexiteit,Kansrekenen 2,Netwerken en systeembeveiliging,Project Genetic Algorithms,,
Berkers,Tian,27064249,Advanced Heuristics,Calculus 2,Webprogrammeren en databases,,,
Berrevoets,Annique,82872148,Netwerken en systeembeveiliging,Software engineering,,,,
Besemer,Theadora,93023961,Data Mining,,,,,
Beulen,Abdallah,22871048,Analysemethoden en -technieken,Autonomous Agents 2,Heuristieken 1,Reflectie op de digitale cultuur,Software engineering,
Beunen,Eltjo,96554914,Reflectie op de digitale cultuur,Software engineering,,,,
Bhaggoe,Saba,41585485,Algoritmen en complexiteit,Kansrekenen 2,Programmeren in Java 2,,,
Bischoff,Ella,46052388,Collectieve Intelligentie,,,,,
Blijleven,Perry,34691309,Project Numerical Recipes,,,,,
Blik,Thyrza,54074680,Lineaire Algebra,,,,,
Blikman,Jarik,81200278,Bioinformatica,Data Mining,Heuristieken 2,Interactie-ontwerp,Netwerken en systeembeveiliging,
Blikman,Monika,18266644,Analysemethoden en -technieken,Informatie- en organsatieontwerp,Kansrekenen 2,Netwerken en systeembeveiliging,,
Bloemert,Marco,1075391,Collectieve Intelligentie,,,,,
Bloemsma,Anjana,44151631,Compilerbouw practicum,,,,,
Blomsma,Guilliano,69459473,Project Genetic Algorithms,Webprogrammeren en databases,,,,
Boateng,Lenne,40791377,Compilerbouw,Machine Learning,,,,
Boekema,Amadou,5368702,Compilerbouw,Interactie-ontwerp,Kansrekenen 2,,,
Bol,Armin,88737765,Analysemethoden en -technieken,Project Genetic Algorithms,,,,
Bolding,Rayn,27916487,Moderne Databases,,,,,
Bontenbal,Jeremey,20239127,Kansrekenen 2,Reflectie op de digitale cultuur,,,,
Bood,Tariq,28943658,Programmeren in Java 2,,,,,
Boogert,Hiba,70939718,Calculus 2,Netwerken en systeembeveiliging,,,,
Borg,Kely,73893840,Programmeren in Java 2,,,,,
Borsboom,Ken,51415617,Reflectie op de digitale cultuur,,,,,
Boshuis,Narin,19540225,Algoritmen en complexiteit,,,,,
Bosman,Rudolph,93361408,Calculus 2,,,,,
Boutkan,Jael,59220392,Calculus 2,Zoeken, sturen en bewegen,,,
Braamhaar,Resi,82233873,Zoeken, sturen en bewegen,,,,
Brans,Hanne,36785409,Analysemethoden en -technieken,Reflectie op de digitale cultuur,Technology for games,,,
Brasser,Cyrina,77831658,Analysemethoden en -technieken,Bioinformatica,Project Numerical Recipes,,,
Brink,Femia,45556081,Architectuur en computerorganisatie,Collectieve Intelligentie,,,,
Brink,Renze,5615125,Calculus 2,Kansrekenen 2,Webprogrammeren en databases,,,
Brinks,Nyncke,44940353,Kansrekenen 2,,,,,
Brinksma,Wulfert,49922855,Reflectie op de digitale cultuur,,,,,
Broeks,Ilyass,56815156,Analysemethoden en -technieken,Bioinformatica,Zoeken, sturen en bewegen,,
Broer,Ethan,14671406,Algoritmen en complexiteit,Kansrekenen 2,Software engineering,,,
Broerse,Tarah,62872965,Autonomous Agents 2,Lineaire Algebra,,,,
Bronsema,Devlin,23257088,Databases 2,Informatie- en organsatieontwerp,Programmeren in Java 2,,,
Bruijnes,Sayfeddine,91196968,Data Mining,Kansrekenen 2,Lineaire Algebra,Programmeren in Java 2,,
Brunsveld,Virginie,5517869,Autonomous Agents 2,Collectieve Intelligentie,Databases 2,Lineaire Algebra,Moderne Databases,
Brusse,Angus,62736669,Databases 2,Netwerken en systeembeveiliging,,,,
Budel,Allan,87602030,Calculus 2,Heuristieken 2,Project Genetic Algorithms,,,
Buining,Wytske,86988337,Algoritmen en complexiteit,Compilerbouw,Databases 2,Programmeren in Java 2,Reflectie op de digitale cultuur,
Buizer,Rika,77636749,Informatie- en organsatieontwerp,Kansrekenen 2,Technology for games,,,
Buter,Vivianne,86807027,Advanced Heuristics,Calculus 2,Heuristieken 1,Programmeren in Java 2,Project Numerical Recipes,
Buth,Abdül,29718115,Architectuur en computerorganisatie,Informatie- en organsatieontwerp,,,,
Buurma,Donné,54569540,Kansrekenen 2,Reflectie op de digitale cultuur,,,,
Caris,Lucienne,12077419,Algoritmen en complexiteit,Compilerbouw,Technology for games,,,
Çetin,Samyra,22826928,Bioinformatica,Programmeren in Java 2,Reflectie op de digitale cultuur,,,
Charité,Liana,60661905,Analysemethoden en -technieken,Programmeren in Java 2,Reflectie op de digitale cultuur,,,
Christiaens,Yde,96054456,Bioinformatica,Calculus 2,Databases 2,Kansrekenen 2,Programmeren in Java 2,
Claassen,Hailey,13718298,Analysemethoden en -technieken,Reflectie op de digitale cultuur,Software engineering,,,
Cleven,Seyit,52304977,Heuristieken 2,,,,,
Coenen,Jorike,7957843,Compilerbouw,Netwerken en systeembeveiliging,Project Numerical Recipes,,,
Cooijmans,Laurentia,33760909,Calculus 2,Collectieve Intelligentie,Heuristieken 2,,,
Corten,Mitzi,15911353,Compilerbouw,,,,,
Corvers,Jildou,24891081,Webprogrammeren en databases,,,,,
Cramer,Abdelouahid,5590289,Netwerken en systeembeveiliging,,,,,
Cramer,Hananja,27582862,Programmeren in Java 2,Software engineering,,,,
Crombach,Jonas,65003379,Kansrekenen 2,,,,,
